92	Sáez	1	471	False	1	INSERT INTO Apellidos Values (92,'Sáez',1,471,False,1)	";"
93	Velasco	1	467	False	1	INSERT INTO Apellidos Values (93,'Velasco',1,467,False,1)	";"
94	Moya	1	460	False	1	INSERT INTO Apellidos Values (94,'Moya',1,460,False,1)	";"
95	Soler	1	457	False	1	INSERT INTO Apellidos Values (95,'Soler',1,457,False,1)	";"
96	Parra	1	451	False	1	INSERT INTO Apellidos Values (96,'Parra',1,451,False,1)	";"
97	Esteban	1	451	False	1	INSERT INTO Apellidos Values (97,'Esteban',1,451,False,1)	";"
98	Bravo	1	447	False	1	INSERT INTO Apellidos Values (98,'Bravo',1,447,False,1)	";"
99	Gallardo	1	446	False	1	INSERT INTO Apellidos Values (99,'Gallardo',1,446,False,1)	";"
100	Rojas	1	439	False	1	INSERT INTO Apellidos Values (100,'Rojas',1,439,False,1)	";"
101	Pardo	1	435	False	1	INSERT INTO Apellidos Values (101,'Pardo',1,435,False,1)	";"
102	Merino	1	429	False	1	INSERT INTO Apellidos Values (102,'Merino',1,429,False,1)	";"
103	Franco	1	422	False	1	INSERT INTO Apellidos Values (103,'Franco',1,422,False,1)	";"
104	Lara	1	415	False	1	INSERT INTO Apellidos Values (104,'Lara',1,415,False,1)	";"
105	Espinosa	1	414	False	1	INSERT INTO Apellidos Values (105,'Espinosa',1,414,False,1)	";"
106	Rivas	1	411	False	1	INSERT INTO Apellidos Values (106,'Rivas',1,411,False,1)	";"
107	Izquierdo	1	411	False	1	INSERT INTO Apellidos Values (107,'Izquierdo',1,411,False,1)	";"
108	Rivera	1	410	False	1	INSERT INTO Apellidos Values (108,'Rivera',1,410,False,1)	";"
109	Casado	1	402	False	1	INSERT INTO Apellidos Values (109,'Casado',1,402,False,1)	";"
110	Camacho	1	401	False	1	INSERT INTO Apellidos Values (110,'Camacho',1,401,False,1)	";"
111	Arroyo	1	400	False	1	INSERT INTO Apellidos Values (111,'Arroyo',1,400,False,1)	";"
112	Redondo	1	400	False	1	INSERT INTO Apellidos Values (112,'Redondo',1,400,False,1)	";"
113	Silva	1	397	False	1	INSERT INTO Apellidos Values (113,'Silva',1,397,False,1)	";"
